TID	familyID	evidence	value	rank	description	note
264	Cluster_107	priority_score	0.9068902007362322	0.9068902007362322	meta ranking based on multiple evidences	
265	Cluster_345	DNA_abundance	1263.8825576862741	0.9161425576519916	ranking based on single evidence	
266	Cluster_345	DNA_prevalence	0.8725490196078431	0.8913347309573725	ranking based on single evidence	
267	Cluster_345	priority_score	0.9035683992152448	0.9035683992152448	meta ranking based on multiple evidences	
268	Cluster_490	DNA_abundance	1232.1037400098041	0.896575821104123	ranking based on single evidence	
269	Cluster_490	DNA_prevalence	0.8823529411764706	0.9095038434661076	ranking based on single evidence	
270	Cluster_490	priority_score	0.9029935625204225	0.9029935625204225	meta ranking based on multiple evidences	
271	Cluster_431	DNA_abundance	1255.2752603431375	0.9126484975541579	ranking based on single evidence	
272	Cluster_431	DNA_prevalence	0.8725490196078431	0.8913347309573725	ranking based on single evidence	
273	Cluster_431	priority_score	0.9018657049237486	0.9018657049237486	meta ranking based on multiple evidences	
274	Cluster_406	DNA_abundance	1193.1207745196077	0.8777078965758212	ranking based on single evidence	
275	Cluster_406	DNA_prevalence	0.8921568627450981	0.9273235499650594	ranking based on single evidence	
276	Cluster_406	priority_score	0.9018338201750791	0.9018338201750791	meta ranking based on multiple evidences	
277	Cluster_402	DNA_abundance	1165.9392764803922	0.8644304682040531	ranking based on single evidence	
278	Cluster_402	DNA_prevalence	0.9019607843137255	0.9416491963661775	ranking based on single evidence	
279	Cluster_402	priority_score	0.9013890933681267	0.9013890933681267	meta ranking based on multiple evidences	
280	Cluster_395	DNA_abundance	1223.3439794313726	0.8930817610062893	ranking based on single evidence	
281	Cluster_395	DNA_prevalence	0.8823529411764706	0.9095038434661076	ranking based on single evidence	
282	Cluster_395	priority_score	0.9012179972472847	0.9012179972472847	meta ranking based on multiple evidences	
283	Cluster_353	DNA_abundance	1185.2757684509806	0.8742138364779874	ranking based on single evidence	
284	Cluster_353	DNA_prevalence	0.8921568627450981	0.9273235499650594	ranking based on single evidence	
285	Cluster_353	priority_score	0.8999858502764074	0.8999858502764074	meta ranking based on multiple evidences	
286	Cluster_517	DNA_abundance	1334.9494431274506	0.9524807826694619	ranking based on single evidence	
287	Cluster_517	DNA_prevalence	0.8529411764705882	0.8504542278127184	ranking based on single evidence	
288	Cluster_517	priority_score	0.8985807073711124	0.8985807073711124	meta ranking based on multiple evidences	
289	Cluster_60	DNA_abundance	1327.2996227352944	0.9489867225716282	ranking based on single evidence	
290	Cluster_60	DNA_prevalence	0.8529411764705882	0.8504542278127184	ranking based on single evidence	
291	Cluster_60	priority_score	0.897022789413337	0.897022789413337	meta ranking based on multiple evidences	
292	Cluster_54	DNA_abundance	1242.9207177352937	0.9021663172606569	ranking based on single evidence	
293	Cluster_54	DNA_prevalence	0.8725490196078431	0.8913347309573725	ranking based on single evidence	
294	Cluster_54	priority_score	0.8967178162212881	0.8967178162212881	meta ranking based on multiple evidences	
295	Cluster_660	DNA_abundance	1322.572987715686	0.9468902865129281	ranking based on single evidence	
296	Cluster_660	DNA_prevalence	0.8529411764705882	0.8504542278127184	ranking based on single evidence	
297	Cluster_660	priority_score	0.8960851311712548	0.8960851311712548	meta ranking based on multiple evidences	
298	Cluster_302	DNA_abundance	1154.2712376470588	0.8546470999301188	ranking based on single evidence	
299	Cluster_302	DNA_prevalence	0.9019607843137255	0.9416491963661775	ranking based on single evidence	
